task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_EPM_emotions,none,all_except_acc,4,855,20.0,0.3876920041284682,0.05809006662280806,0.3605050160791011,0.4148789921778353,0.2481672722636578,0.03053469376278333,0.23387659568705474,0.26245794884026086,0.23429470574340566,0.028836786020983392,0.2207986744507369,0.24779073703607443
within_EPM_emotions,none,physiology_only,4,855,20.0,0.41743367130107456,0.051688596242216014,0.3932426636120949,0.4416246789900542,0.2688382498246956,0.04028877539155409,0.24998252252443198,0.28769397712495925,0.2566679179581546,0.04118435554570215,0.23739304624364588,0.2759427896726633
shared_Baseline_vs_Stress_pooled,none,all_modalities,2,1294,20.0,0.8418131229247614,0.032118164618786194,0.826781359175403,0.8568448866741198,0.8407495893692676,0.03095798963146355,0.8262608042279441,0.855238374510591,0.8378918017346783,0.032100441675976976,0.8228683325778786,0.8529152708914779
shared_Baseline_vs_Stress_pooled,none,acc_only,2,1294,20.0,0.7529370129616685,0.06506956691247083,0.7224835182271272,0.7833905076962098,0.7446181318090009,0.058757872509461025,0.7171186009839883,0.7721176626340136,0.744246643292077,0.06392156411627761,0.7143304304047645,0.7741628561793895
shared_Baseline_vs_Stress_pooled,none,all_except_acc,2,1294,20.0,0.8147507113970607,0.03894742883391611,0.7965227536097733,0.832978669184348,0.8140225145836171,0.035231497293750566,0.7975336662903973,0.8305113628768368,0.8102543586083714,0.038628583392659684,0.7921756250810134,0.8283330921357294
shared_Baseline_vs_Stress_pooled,none,physiology_only,2,1294,20.0,0.8126198456158976,0.045678365775447365,0.7912417123712696,0.8339979788605256,0.8121008388647786,0.043059105904365784,0.7919485569739744,0.8322531207555828,0.8082380750538679,0.04566840335164654,0.7868646043671016,0.8296115457406342
legacy_6class_session_labels,subject_zscore,all_modalities,11,7686,20.0,0.4710076320085922,0.05465097106121607,0.44543019022710495,0.49658507379007943,0.33165272832415327,0.03313835332279938,0.31614350156404974,0.3471619550842568,0.3491838557996948,0.03640024004479716,0.3321480190615865,0.3662196925378031
legacy_6class_session_labels,subject_zscore,acc_only,11,7686,20.0,0.43389574740732095,0.057280937054353324,0.407087443652651,0.4607040511619909,0.2819514725914282,0.0399463886238551,0.26325598723101523,0.3006469579518412,0.2894581324416784,0.04338153489452401,0.2691549491384327,0.3097613157449241
legacy_6class_session_labels,subject_zscore,all_except_acc,11,7686,20.0,0.41804939061233437,0.03885528536771081,0.3998645572946886,0.4362342239299801,0.2914062322989036,0.02243171947399086,0.2809078644243056,0.3019046001735016,0.3063828146467118,0.025821981579504716,0.2942977552651938,0.3184678740282298
legacy_6class_session_labels,subject_zscore,physiology_only,11,7686,20.0,0.4131426426420193,0.035256752838628565,0.3966419743899547,0.42964331089408386,0.2820993501202846,0.021333519147356723,0.2721149558196864,0.29208374442088275,0.29409740018733976,0.02360063845122634,0.28305196139145794,0.3051428389832216
harmonized_all_classes,subject_zscore,all_modalities,11,7686,20.0,0.4710076320085922,0.05465097106121607,0.44543019022710495,0.49658507379007943,0.33165272832415327,0.03313835332279938,0.31614350156404974,0.3471619550842568,0.3491838557996948,0.03640024004479716,0.3321480190615865,0.3662196925378031
harmonized_all_classes,subject_zscore,acc_only,11,7686,20.0,0.43389574740732095,0.057280937054353324,0.407087443652651,0.4607040511619909,0.2819514725914282,0.0399463886238551,0.26325598723101523,0.3006469579518412,0.2894581324416784,0.04338153489452401,0.2691549491384327,0.3097613157449241
harmonized_all_classes,subject_zscore,all_except_acc,11,7686,20.0,0.41804939061233437,0.03885528536771081,0.3998645572946886,0.4362342239299801,0.2914062322989036,0.02243171947399086,0.2809078644243056,0.3019046001735016,0.3063828146467118,0.025821981579504716,0.2942977552651938,0.3184678740282298
