task,normalisation,modality,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_PhysioNet_stress_session,none,acc_only,xgboost,20.0,0.5214954052321302,0.07306791351773802,0.48729856905878405,0.5556922414054765,0.4532454636791406,0.039722844325032126,0.4346546002710498,0.4718363270872314,0.3963329083542978,0.04559506600597624,0.37499376060183376,0.41767205610676184
within_PhysioNet_stress_session,none,acc_only,random_forest,20.0,0.5264444841367627,0.1070288933729918,0.4763534201350211,0.5765355481385044,0.43835926886281806,0.04491801658956556,0.4173369899910924,0.4593815477345437,0.383113770364679,0.05791564830951646,0.3560084125986758,0.4102191281306821
within_PhysioNet_stress_session,none,acc_only,mlp,20.0,0.6794496561900208,0.07150223627572427,0.6459855795217408,0.7129137328583008,0.3665005622647347,0.032605497273078356,0.35124071981244864,0.3817604047170208,0.34344598490551304,0.048313611428451336,0.32083451873082375,0.3660574510802023
affective_only_no_exercise,none,all_modalities,xgboost,20.0,0.4223893134039701,0.04271071298802656,0.40240008441710734,0.4423785423908329,0.32260413613931815,0.028661716925067787,0.3091900397056568,0.3360182325729795,0.31057252934230284,0.030642278914953646,0.29623150136456716,0.3249135573200385
affective_only_no_exercise,none,all_modalities,random_forest,20.0,0.43233809897263864,0.04327278001495364,0.41208581451980036,0.4525903834254769,0.3307426683811835,0.030420067865906553,0.3165056383756676,0.3449796983866994,0.31860813507767977,0.02848769480281853,0.3052754835042668,0.3319407866510927
affective_only_no_exercise,none,all_modalities,mlp,20.0,0.4426099164947056,0.03342472059764901,0.42696666572444525,0.45825316726496595,0.30598634976867156,0.030574942243281625,0.2916768363233588,0.32029586321398434,0.29805346577441316,0.02907358394214724,0.28444660964322943,0.3116603219055969
affective_only_no_exercise,none,physiology_only,xgboost,20.0,0.31823313067781295,0.045564317123565554,0.29690837384529845,0.33955788751032745,0.24676067829804277,0.0284151154486912,0.23346199490797007,0.26005936168811544,0.2342772161220376,0.028591390649857107,0.2208960333983247,0.24765839884575053
affective_only_no_exercise,none,physiology_only,random_forest,20.0,0.29938897080631405,0.05206861032274611,0.27502011105300395,0.32375783055962415,0.2322862703425807,0.028360577219913148,0.21901311162927675,0.24555942905588465,0.21591159174507327,0.034846983387008104,0.19960270149967788,0.23222048199046866
affective_only_no_exercise,none,physiology_only,mlp,20.0,0.35551819918446265,0.03304759782486524,0.3400514473048541,0.3709849510640712,0.22871688601540444,0.024337603958042957,0.21732653674529787,0.240107235285511,0.22149001055279233,0.025564562933832476,0.20952542680593003,0.23345459429965462
affective_only_no_exercise,none,acc_only,xgboost,20.0,0.42456625747130056,0.04637075418877698,0.4028640764743961,0.446268438468205,0.3174439028739274,0.03241821056524101,0.3022717132990401,0.3326160924488146,0.3098084840407048,0.03053545379080799,0.29551745176003696,0.3240995163213727
affective_only_no_exercise,none,acc_only,random_forest,20.0,0.43957760823550557,0.06332110366172894,0.4099424194914073,0.46921279697960383,0.3252440732013714,0.04162511570098463,0.3057629193844146,0.3447252270183282,0.3182482510331247,0.037529782993084425,0.3006837719225479,0.3358127301437015
affective_only_no_exercise,none,acc_only,mlp,20.0,0.4942987630511378,0.04249454346142929,0.4744107045169515,0.5141868215853241,0.32675525866605437,0.028920979904111316,0.3132198234231493,0.34029069390895944,0.31410519514768953,0.028286530718155938,0.30086669126395293,0.3273436990314261
cross_dataset_WESAD_to_PhysioNet,none,all_modalities,xgboost,5.0,0.5517241379310345,0.013490703386826775,0.5349732172251661,0.5684750586369028,0.573132183908046,0.012784530877311845,0.5572580921837635,0.5890062756323284,0.5495542973939476,0.014022577707742265,0.5321429674922293,0.5669656272956658
cross_dataset_WESAD_to_PhysioNet,none,all_modalities,random_forest,5.0,0.5349753694581281,0.009281499350451588,0.5234508658653207,0.5464998730509354,0.5564655172413794,0.010154499128784265,0.5438570412533765,0.5690739932293822,0.5325752113791555,0.009154250930583807,0.5212087075681263,0.5439417151901847
cross_dataset_WESAD_to_PhysioNet,none,all_modalities,mlp,5.0,0.6354679802955665,0.015083064918615646,0.6167398816035513,0.6541960789875817,0.6316091954022989,0.016603999306532478,0.6109926072371772,0.6522257835674206,0.6298030929192204,0.016061449560832303,0.6098601692405693,0.6497460165978716
cross_dataset_WESAD_to_PhysioNet,none,physiology_only,xgboost,5.0,0.5551724137931034,0.007306599494675538,0.546100072251271,0.5642447553349359,0.569396551724138,0.005220086817409492,0.5629149578554625,0.5758781455928134,0.554931165206515,0.007538943124463196,0.5455703309443632,0.5642919994686667
cross_dataset_WESAD_to_PhysioNet,none,physiology_only,random_forest,5.0,0.5852216748768473,0.010536576175471655,0.5721387875754326,0.598304562178262,0.5883620689655172,0.01392084940738225,0.5710770514319545,0.60564708649908,0.5833574732153408,0.011585522190808313,0.5689721474106233,0.5977427990200583
cross_dataset_WESAD_to_PhysioNet,none,physiology_only,mlp,5.0,0.6192118226600984,0.011097419040461885,0.605432556964576,0.6329910883556209,0.6208333333333333,0.012550268851679569,0.6052501163324248,0.6364165503342419,0.6167924339874113,0.01161853144725778,0.602366121777353,0.6312187461974696
cross_dataset_WESAD_to_PhysioNet,none,acc_only,xgboost,5.0,0.454679802955665,0.014425172871277139,0.43676858513353456,0.47259102077779547,0.5146551724137931,0.012123576499844246,0.4996017639444673,0.5297085808831189,0.3797439414878946,0.025895447192403543,0.34759049699170036,0.4118973859840888
cross_dataset_WESAD_to_PhysioNet,none,acc_only,random_forest,5.0,0.4374384236453202,0.0037354066226855105,0.4328003037232797,0.4420765435673607,0.5010057471264368,0.003236747220134725,0.49698679463190937,0.5050246996209642,0.3462429810129512,0.00724975050350996,0.33724122681678326,0.35524473520911914
cross_dataset_WESAD_to_PhysioNet,none,acc_only,mlp,5.0,0.5078817733990147,0.04235450677576703,0.45529170717386747,0.560471839624162,0.5581896551724139,0.034788218427595545,0.5149943767892198,0.6013849335556081,0.46476449000078573,0.0678149782075866,0.38056107302145264,0.5489679069801189
cross_dataset_PhysioNet_to_WESAD,none,all_modalities,xgboost,5.0,0.6709236031927024,0.00627656052201727,0.6631302239599666,0.6787169824254382,0.6069966936702532,0.009684628676573943,0.5949716389065796,0.6190217484339269,0.6091475754543131,0.01089409148187459,0.5956207742681311,0.6226743766404951
