features,test_dataset,trained_on,split,balanced_accuracy,auroc,exercise_called_stress
physiology,UBFC-Phys,all_datasets,4,0.925,0.9833333333333334,
physiology,UBFC-Phys,within_dataset,5,0.975,0.9787499999999999,
physiology,UBFC-Phys,other_datasets_only,5,0.5875,0.875,
physiology,UBFC-Phys,all_datasets,5,0.7749999999999999,0.915,
physiology,UBFC-Phys,within_dataset,6,0.7,0.8350000000000001,
physiology,UBFC-Phys,other_datasets_only,6,0.7,0.7050000000000001,
physiology,UBFC-Phys,all_datasets,6,0.575,0.6799999999999999,
physiology,UBFC-Phys,within_dataset,7,0.825,0.9450000000000001,
physiology,UBFC-Phys,other_datasets_only,7,0.55,0.975,
physiology,UBFC-Phys,all_datasets,7,0.875,0.9425000000000001,
physiology,UBFC-Phys,within_dataset,8,0.9,0.9733333333333334,
physiology,UBFC-Phys,other_datasets_only,8,0.6166666666666667,0.855,
physiology,UBFC-Phys,all_datasets,8,0.7583333333333333,0.8683333333333333,
physiology,UBFC-Phys,within_dataset,9,0.9,0.9625,
physiology,UBFC-Phys,other_datasets_only,9,0.6,0.9987499999999999,
physiology,UBFC-Phys,all_datasets,9,0.925,0.9987499999999999,
physiology,UBFC-Phys,within_dataset,10,0.825,0.9075,
physiology,UBFC-Phys,other_datasets_only,10,0.55,0.7575000000000001,
physiology,UBFC-Phys,all_datasets,10,0.75,0.86,
physiology,UBFC-Phys,within_dataset,11,0.8,0.89,
physiology,UBFC-Phys,other_datasets_only,11,0.55,0.7575000000000001,
physiology,UBFC-Phys,all_datasets,11,0.6499999999999999,0.87,
physiology,UBFC-Phys,within_dataset,12,0.875,0.955,
physiology,UBFC-Phys,other_datasets_only,12,0.65,0.98,
physiology,UBFC-Phys,all_datasets,12,0.925,0.955,
physiology,UBFC-Phys,within_dataset,13,0.9,0.97,
physiology,UBFC-Phys,other_datasets_only,13,0.5666666666666667,0.9583333333333334,
physiology,UBFC-Phys,all_datasets,13,0.9333333333333333,0.9466666666666667,
physiology,UBFC-Phys,within_dataset,14,0.9,1.0,
physiology,UBFC-Phys,other_datasets_only,14,0.5,0.975,
physiology,UBFC-Phys,all_datasets,14,0.85,0.95,
physiology,UBFC-Phys,within_dataset,15,0.95,1.0,
physiology,UBFC-Phys,other_datasets_only,15,0.55,0.8825,
physiology,UBFC-Phys,all_datasets,15,0.825,0.9299999999999999,
physiology,UBFC-Phys,within_dataset,16,1.0,1.0,
physiology,UBFC-Phys,other_datasets_only,16,0.7,1.0,
physiology,UBFC-Phys,all_datasets,16,0.95,1.0,
physiology,UBFC-Phys,within_dataset,17,0.875,0.9675,
physiology,UBFC-Phys,other_datasets_only,17,0.55,1.0,
physiology,UBFC-Phys,all_datasets,17,0.975,1.0,
physiology,UBFC-Phys,within_dataset,18,0.7749999999999999,0.875,
physiology,UBFC-Phys,other_datasets_only,18,0.675,0.7475,
physiology,UBFC-Phys,all_datasets,18,0.625,0.78,
physiology,UBFC-Phys,within_dataset,19,1.0,1.0,
physiology,UBFC-Phys,other_datasets_only,19,0.7,1.0,
physiology,UBFC-Phys,all_datasets,19,0.95,1.0,
physiology,WESAD,within_dataset,0,0.9240683458535867,0.9941081160701134,
physiology,WESAD,other_datasets_only,0,0.8513035793194874,0.9202386212991603,
physiology,WESAD,all_datasets,0,0.8627191044336426,0.9550743850346147,
physiology,WESAD,within_dataset,1,0.9755376344086022,0.9941628264208909,
physiology,WESAD,other_datasets_only,1,0.7764976958525346,0.9513824884792627,
physiology,WESAD,all_datasets,1,0.8456221198156681,0.9844854070660521,
physiology,WESAD,within_dataset,2,0.8616219475429605,0.968947844437745,
physiology,WESAD,other_datasets_only,2,0.7296502864033765,0.833283087126922,
physiology,WESAD,all_datasets,2,0.7698221284293036,0.8898100693397648,
physiology,WESAD,within_dataset,3,0.9908256880733946,0.9997706422018349,
physiology,WESAD,other_datasets_only,3,0.8876146788990826,0.9967125382262997,
physiology,WESAD,all_datasets,3,0.9357798165137614,0.9997706422018349,
physiology,WESAD,within_dataset,4,0.9826708585972004,0.9987274496594056,
physiology,WESAD,other_datasets_only,4,0.7808219178082192,0.9779923646979564,
physiology,WESAD,all_datasets,4,0.8424657534246576,0.9938618160041919,
physiology,WESAD,within_dataset,5,0.9422043010752688,0.9919354838709677,
physiology,WESAD,other_datasets_only,5,0.8298387096774194,0.9297235023041476,
physiology,WESAD,all_datasets,5,0.8690092165898617,0.955837173579109,
physiology,WESAD,within_dataset,6,0.7806570690291621,0.9353266888150609,
physiology,WESAD,other_datasets_only,6,0.7384274640088593,0.8279808047249907,
physiology,WESAD,all_datasets,6,0.7671465485418973,0.8742709486895532,
