features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
physiology,WESAD,other_datasets_only,auroc,0.8475,0.9183,-0.0708,-1.7717,0.0925,20,1.0,baseline
physiology,WESAD,all_datasets,balanced_accuracy,0.8042,0.8762,-0.072,-1.5784,0.131,20,1.0,baseline
physiology,WESAD,all_datasets,auroc,0.9257,0.9538,-0.0281,-0.8414,0.4106,20,1.0,baseline
hr_hrv_eda,Campanella2024,within_dataset,balanced_accuracy,0.9881,0.8823,0.1058,2.6832,0.0147,20,0.7945,baseline
hr_hrv_eda,Campanella2024,within_dataset,auroc,1.0,0.9497,0.0503,1.5713,0.1326,20,1.0,baseline
hr_hrv_eda,Campanella2024,other_datasets_only,balanced_accuracy,0.9516,0.8675,0.0841,1.9397,0.0674,20,1.0,baseline
hr_hrv_eda,Campanella2024,other_datasets_only,auroc,0.9701,0.9188,0.0513,1.165,0.2584,20,1.0,baseline
hr_hrv_eda,Campanella2024,all_datasets,balanced_accuracy,0.9626,0.8953,0.0673,1.4857,0.1538,20,1.0,baseline
hr_hrv_eda,Campanella2024,all_datasets,auroc,0.9787,0.9345,0.0442,1.1367,0.2698,20,1.0,baseline
hr_hrv_eda,PhysioNet,within_dataset,balanced_accuracy,0.7133,0.7762,-0.0629,-1.6683,0.1117,20,1.0,baseline
hr_hrv_eda,PhysioNet,within_dataset,auroc,0.7903,0.8536,-0.0633,-2.3748,0.0282,20,1.0,baseline
hr_hrv_eda,PhysioNet,other_datasets_only,balanced_accuracy,0.7011,0.746,-0.0449,-1.3436,0.1949,20,1.0,baseline
hr_hrv_eda,PhysioNet,other_datasets_only,auroc,0.7935,0.811,-0.0175,-0.3834,0.7056,20,1.0,baseline
hr_hrv_eda,PhysioNet,all_datasets,balanced_accuracy,0.7384,0.7829,-0.0445,-1.2748,0.2177,20,1.0,baseline
hr_hrv_eda,PhysioNet,all_datasets,auroc,0.8212,0.8538,-0.0326,-0.7609,0.4561,20,1.0,baseline
hr_hrv_eda,Stress-Predict,within_dataset,balanced_accuracy,0.7084,0.6973,0.0111,0.5018,0.6216,20,1.0,baseline
hr_hrv_eda,Stress-Predict,within_dataset,auroc,0.7681,0.7681,-0.0,-0.0002,0.9999,20,1.0,baseline
hr_hrv_eda,Stress-Predict,other_datasets_only,balanced_accuracy,0.612,0.6456,-0.0336,-1.3074,0.2067,20,1.0,baseline
hr_hrv_eda,Stress-Predict,other_datasets_only,auroc,0.6977,0.7015,-0.0038,-0.1614,0.8735,20,1.0,baseline
hr_hrv_eda,Stress-Predict,all_datasets,balanced_accuracy,0.6796,0.6886,-0.009,-0.3594,0.7232,20,1.0,baseline
hr_hrv_eda,Stress-Predict,all_datasets,auroc,0.7629,0.7476,0.0153,0.6588,0.5179,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,within_dataset,balanced_accuracy,0.896,0.8767,0.0194,0.4272,0.6741,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,within_dataset,auroc,0.976,0.9518,0.0242,0.7014,0.4916,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,other_datasets_only,balanced_accuracy,0.7644,0.8373,-0.0729,-1.6736,0.1106,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,other_datasets_only,auroc,0.8937,0.904,-0.0103,-0.1697,0.867,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,all_datasets,balanced_accuracy,0.8358,0.8392,-0.0033,-0.0891,0.9299,20,1.0,baseline
hr_hrv_eda,UBFC-Phys,all_datasets,auroc,0.9516,0.9221,0.0295,0.7113,0.4855,20,1.0,baseline
hr_hrv_eda,WESAD,within_dataset,balanced_accuracy,0.7913,0.9158,-0.1245,-4.5024,0.0002,20,0.0144,baseline
hr_hrv_eda,WESAD,within_dataset,auroc,0.9593,0.9768,-0.0176,-1.3497,0.193,20,1.0,baseline
hr_hrv_eda,WESAD,other_datasets_only,balanced_accuracy,0.7778,0.8842,-0.1064,-3.6684,0.0016,20,0.0947,baseline
hr_hrv_eda,WESAD,other_datasets_only,auroc,0.8848,0.9693,-0.0845,-3.4151,0.0029,20,0.1655,baseline
hr_hrv_eda,WESAD,all_datasets,balanced_accuracy,0.8204,0.9207,-0.1004,-5.0293,0.0001,20,0.0045,baseline
hr_hrv_eda,WESAD,all_datasets,auroc,0.9275,0.9794,-0.052,-3.2263,0.0044,20,0.2488,baseline
physiology,Campanella2024,within_dataset,balanced_accuracy,0.893,0.8969,-0.0039,-0.1138,0.9106,20,1.0,causal
physiology,Campanella2024,within_dataset,auroc,0.9642,0.9565,0.0077,0.2839,0.7795,20,1.0,causal
physiology,Campanella2024,other_datasets_only,balanced_accuracy,0.8052,0.8269,-0.0218,-0.6376,0.5313,20,1.0,causal
physiology,Campanella2024,other_datasets_only,auroc,0.863,0.9215,-0.0585,-1.4912,0.1523,20,1.0,causal
physiology,Campanella2024,all_datasets,balanced_accuracy,0.8383,0.8947,-0.0565,-1.7808,0.0909,20,1.0,causal
physiology,Campanella2024,all_datasets,auroc,0.8926,0.947,-0.0544,-1.5095,0.1476,20,1.0,causal
physiology,PhysioNet,within_dataset,balanced_accuracy,0.7671,0.7604,0.0067,0.2956,0.7708,20,1.0,causal
physiology,PhysioNet,within_dataset,auroc,0.8521,0.8527,-0.0007,-0.0255,0.98,20,1.0,causal
physiology,PhysioNet,other_datasets_only,balanced_accuracy,0.7205,0.7352,-0.0147,-0.4546,0.6545,20,1.0,causal
