task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
harmonized_all_classes,subject_zscore,physiology_only,11,7598,20.0,0.41330219888129127,0.03575623064315483,0.39656776782102143,0.4300366299415611,0.2773116835562861,0.023551890159406137,0.2662890596632645,0.2883343074493077,0.28935682518022665,0.02540802298759411,0.27746550438338413,0.30124814597706917
affective_only_no_exercise,subject_zscore,all_modalities,9,3835,20.0,0.545592012093209,0.042956802150303446,0.5254876098331368,0.5656964143532811,0.3813018103441053,0.03508388414522214,0.36488204713097394,0.3977215735572367,0.388406841478109,0.040308816888359134,0.3695417344686144,0.4072719484876036
affective_only_no_exercise,subject_zscore,acc_only,9,3835,20.0,0.4781028427383923,0.056973995064575844,0.4514381922568734,0.5047674932199112,0.3020309208676949,0.04032166234275269,0.28315980200048707,0.3209020397349027,0.30493829831715624,0.04457196224738041,0.28407797786297745,0.32579861877133504
affective_only_no_exercise,subject_zscore,all_except_acc,9,3835,20.0,0.5113616697673183,0.04124930752134711,0.4920563995924823,0.5306669399421543,0.35883057642431837,0.023250968996768363,0.34794878797060785,0.3697123648780289,0.3653682155513699,0.028126093412616588,0.35220479863795295,0.3785316324647868
affective_only_no_exercise,subject_zscore,physiology_only,9,3835,20.0,0.508078939254738,0.039040376148784826,0.4898074807850541,0.5263503977244219,0.35108472925928524,0.02349053925726523,0.34009081847231243,0.36207864004625806,0.35458637846381197,0.02746019625430373,0.3417346110136795,0.3674381459139444
within_WESAD,subject_zscore,all_modalities,4,1337,20.0,0.7419390555784302,0.0778659598011176,0.7054966646217928,0.7783814465350676,0.6520005787896228,0.09484403125420024,0.607612205799716,0.6963889517795296,0.6522687603539701,0.09052334309201762,0.6099025316696127,0.6946349890383274
within_WESAD,subject_zscore,acc_only,4,1337,20.0,0.5934325403240381,0.06857665689616332,0.5613376769525178,0.6255274036955585,0.49359239545380335,0.0644587819578662,0.46342475687724155,0.5237600340303651,0.5008863412651039,0.06086996324512786,0.47239832154813305,0.5293743609820747
within_WESAD,subject_zscore,all_except_acc,4,1337,20.0,0.7520821092129525,0.04865170411763169,0.7293124107890215,0.7748518076368834,0.6653404221656535,0.06443390998713422,0.6351844240297103,0.6954964203015966,0.6643186952608318,0.05534361641421608,0.6384170854756007,0.6902203050460628
within_WESAD,subject_zscore,physiology_only,4,1337,20.0,0.7200476893212853,0.05863682008046978,0.6926048127769726,0.7474905658655979,0.6435960256457383,0.08376679154263428,0.6043919604242112,0.6828000908672653,0.6473067642417956,0.07821883583232332,0.6106992222188736,0.6839143062647175
within_PhysioNet_stress_session,subject_zscore,all_modalities,3,1643,20.0,0.7332546312141104,0.027463360444230527,0.7204013828775075,0.7461078795507132,0.3757871121394432,0.04447528913309876,0.3549720360954617,0.39660218818342474,0.3618636748988363,0.05753450692562448,0.3349366967913774,0.38879065300629523
within_PhysioNet_stress_session,subject_zscore,acc_only,3,1643,20.0,0.7235519547929211,0.01824274811240953,0.7150140858636237,0.7320898237222185,0.3375226554190048,0.017897937451519606,0.329146162846491,0.34589914799151855,0.31366418447313715,0.026620841180095035,0.301205247289836,0.3261231216564383
within_PhysioNet_stress_session,subject_zscore,all_except_acc,3,1643,20.0,0.7370088815671588,0.028421282117213488,0.723707312087378,0.7503104510469396,0.3920501531828094,0.03519351770476251,0.37557907988438605,0.40852122648123274,0.3893270307151663,0.046231662352922476,0.3676899467012571,0.41096411472907546
within_PhysioNet_stress_session,subject_zscore,physiology_only,3,1643,20.0,0.7182002631143625,0.033822479240410035,0.7023708555690119,0.734029670659713,0.3825733418712586,0.052406899622156916,0.3580461578522865,0.40710052589023066,0.3782548622816174,0.0683144252901073,0.3462827270795499,0.41022699748368496
within_EPM_emotions,subject_zscore,all_modalities,4,855,20.0,0.4774801165685143,0.09927412940670992,0.4310183938213787,0.52394183931565,0.330073866896156,0.07930445933301927,0.2929582374349603,0.36718949635735165,0.3301295161315533,0.08443229547253764,0.2906139854833023,0.36964504677980425
