model,subject_id,dataset,n_samples,accuracy,precision,recall,f1
Random Forest,103,EPM-E4,50,0.78,1.0,0.78,0.8764044943820225
Random Forest,106,EPM-E4,72,0.7916666666666666,1.0,0.7916666666666666,0.8837209302325582
Random Forest,107,EPM-E4,59,0.9661016949152542,1.0,0.9661016949152542,0.9827586206896551
Random Forest,117,EPM-E4,48,0.75,1.0,0.75,0.8571428571428571
Random Forest,121,EPM-E4,52,1.0,1.0,1.0,1.0
Random Forest,122,EPM-E4,48,0.8541666666666666,1.0,0.8541666666666666,0.9213483146067416
Random Forest,124,EPM-E4,49,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334
Random Forest,126,EPM-E4,62,0.967741935483871,1.0,0.967741935483871,0.9836065573770492
Random Forest,128,EPM-E4,55,0.8909090909090909,1.0,0.8909090909090909,0.9423076923076923
Random Forest,129,EPM-E4,65,0.9384615384615385,1.0,0.9384615384615385,0.9682539682539683
Random Forest,131,EPM-E4,56,0.875,1.0,0.875,0.9333333333333333
Random Forest,137,EPM-E4,48,0.8958333333333334,1.0,0.8958333333333334,0.9450549450549449
Random Forest,138,EPM-E4,53,0.6415094339622641,1.0,0.6415094339622641,0.7816091954022989
Random Forest,141,EPM-E4,49,0.9795918367346939,1.0,0.9795918367346939,0.9896907216494845
Random Forest,159,EPM-E4,47,0.6170212765957447,1.0,0.6170212765957447,0.7631578947368421
Random Forest,160,EPM-E4,53,0.9811320754716981,1.0,0.9811320754716981,0.9904761904761904
Random Forest,S01,PhysioNet,177,0.4406779661016949,0.5198552007561454,0.4406779661016949,0.4751937506598895
Random Forest,S02,PhysioNet,204,0.75,0.7886226632717459,0.75,0.762877229255286
Random Forest,S03,PhysioNet,137,0.5766423357664233,0.5641961849991046,0.5766423357664233,0.5599789887698309
Random Forest,S04,PhysioNet,160,0.875,0.9026486401012018,0.875,0.871948704822534
Random Forest,S05,PhysioNet,151,0.44370860927152317,0.6356466781577913,0.44370860927152317,0.4853930075118962
Random Forest,S06,PhysioNet,141,0.375886524822695,0.48733392636547446,0.375886524822695,0.4150853942104633
Random Forest,S07,PhysioNet,139,0.8345323741007195,0.8986188187209885,0.8345323741007195,0.8518235202001233
Random Forest,S08,PhysioNet,150,0.7,0.6900734319224886,0.7,0.6929323713323714
Random Forest,S09,PhysioNet,150,0.7466666666666667,0.8242852754004828,0.7466666666666667,0.7813220439691028
Random Forest,S12,PhysioNet,88,0.8977272727272727,1.0,0.8977272727272727,0.9443576031811325
Random Forest,S18,PhysioNet,157,0.6242038216560509,0.6798587752570433,0.6242038216560509,0.6298986929560179
Random Forest,f01,PhysioNet,281,0.5658362989323843,0.6757608662590869,0.5658362989323843,0.6147270413562593
Random Forest,f02,PhysioNet,233,0.6051502145922747,0.5707251001548977,0.6051502145922747,0.5486030911798015
Random Forest,f03,PhysioNet,303,0.429042904290429,0.5372516345420982,0.429042904290429,0.47459230993944057
Random Forest,f04,PhysioNet,249,0.7188755020080321,0.7628561383581464,0.7188755020080321,0.725190601980113
Random Forest,f05,PhysioNet,330,0.6212121212121212,0.5472616323417239,0.6212121212121212,0.5454853164797223
Random Forest,f06,PhysioNet,251,0.5258964143426295,0.8214552267402718,0.5258964143426295,0.575424449904971
Random Forest,f08,PhysioNet,251,0.6852589641434262,0.7408344643404404,0.6852589641434262,0.6681475748866774
Random Forest,f09,PhysioNet,249,0.5823293172690763,0.663373897675587,0.5823293172690763,0.5573356510010985
Random Forest,f10,PhysioNet,221,0.8371040723981901,0.8443697992017319,0.8371040723981901,0.8378210778894335
Random Forest,f11,PhysioNet,255,0.17254901960784313,0.20571266968325794,0.17254901960784313,0.15943862596354916
Random Forest,f12,PhysioNet,314,0.7579617834394905,0.7570336957265329,0.7579617834394905,0.7545860500543795
Random Forest,f13,PhysioNet,305,0.3639344262295082,0.4534693494505902,0.3639344262295082,0.40149144079157084
Random Forest,f14_a,PhysioNet,22,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
Random Forest,f14_b,PhysioNet,71,0.4507042253521127,1.0,0.4507042253521127,0.6213592233009708
Random Forest,f15,PhysioNet,139,0.8345323741007195,1.0,0.8345323741007195,0.9098039215686274
Random Forest,f16,PhysioNet,106,0.9622641509433962,1.0,0.9622641509433962,0.9807692307692307
Random Forest,f17,PhysioNet,113,0.4690265486725664,1.0,0.4690265486725664,0.6385542168674698
Random Forest,f18,PhysioNet,103,0.970873786407767,1.0,0.970873786407767,0.9852216748768473
Random Forest,S11_a,PhysioNet,52,0.7307692307692307,1.0,0.7307692307692307,0.8444444444444444
Random Forest,S11_b,PhysioNet,8,0.625,1.0,0.625,0.7692307692307693
Random Forest,f07,PhysioNet,154,0.512987012987013,0.7231452757768548,0.512987012987013,0.6000450937950939
Random Forest,S16_a,PhysioNet,18,0.6111111111111112,1.0,0.6111111111111112,0.7586206896551724
Random Forest,S16_b,PhysioNet,21,0.47619047619047616,1.0,0.47619047619047616,0.6451612903225806
MLP,S2,WESAD,89,0.3595505617977528,0.542975941090586,0.3595505617977528,0.36337414053328865
MLP,S3,WESAD,81,0.30864197530864196,0.6724279835390947,0.30864197530864196,0.40114927627209623
MLP,S4,WESAD,86,0.5930232558139535,0.7495322106388667,0.5930232558139535,0.6498054169412799
MLP,S5,WESAD,86,0.45348837209302323,0.6515435876512988,0.45348837209302323,0.4881157513074113
