n,auc_pooled,auc_binned,lo,hi,bins,b_arousal,b_class,b_class_lo,b_class_hi,probe,stress_scope,score,index,n_stress,n_probe,arousal_stress_med,arousal_stress_iqr,arousal_probe_med,arousal_probe_iqr
2000,0.804,0.789,0.749,0.836,0.76 0.69 0.76 0.77 0.97,1.069,1.234,0.957,1.493,EPM Fear,pooled_stress,cond3_added_negative,eda_only,1606,394,0.683,1.776,0.034,1.45
1353,0.765,0.729,0.668,0.784,0.75 0.69 0.70 0.71 0.79,0.787,1.056,0.757,1.405,EPM Fear,pooled_stress,cond3_added_negative,hr_only,1606,394,0.672,1.432,0.029,1.423
1639,0.643,0.39,0.315,0.518,0.36 0.51 0.53 0.40 0.15,1.648,-0.429,-0.873,0.008,EPM Anger,pooled_stress,external,hr+eda,1606,33,0.714,1.297,-0.116,1.263
1639,0.643,0.626,0.472,0.707,0.42 0.48 0.69 0.91 0.63,1.332,0.347,-0.164,0.938,EPM Anger,pooled_stress,external,eda_only,1606,33,0.683,1.776,-0.03,1.292
999,0.58,0.378,0.276,0.493,0.45 0.35 0.62 0.20 0.27,0.853,-0.545,-1.042,0.032,EPM Anger,pooled_stress,external,hr_only,1606,33,0.672,1.432,-0.467,1.578
1639,0.699,0.431,0.343,0.609,0.48 0.68 0.49 0.44 0.08,1.44,0.011,-0.37,0.401,EPM Anger,pooled_stress,cond3_added_negative,hr+eda,1606,33,0.714,1.297,-0.116,1.263
1639,0.699,0.706,0.573,0.792,0.60 0.64 0.68 0.95 0.66,1.103,0.71,0.209,1.133,EPM Anger,pooled_stress,cond3_added_negative,eda_only,1606,33,0.683,1.776,-0.03,1.292
999,0.662,0.427,0.3,0.573,0.52 0.41 0.70 0.16 0.36,0.799,-0.019,-0.556,0.457,EPM Anger,pooled_stress,cond3_added_negative,hr_only,1606,33,0.672,1.432,-0.467,1.578
5445,0.77,0.584,0.541,0.635,0.58 0.57 0.54 0.59 0.64,1.602,0.528,0.324,0.732,Baseline/Rest (ref),pooled_stress,external,hr+eda,1606,3839,0.714,1.297,-0.292,0.862
5445,0.77,0.629,0.591,0.673,0.56 0.50 0.64 0.71 0.74,1.164,0.953,0.755,1.185,Baseline/Rest (ref),pooled_stress,external,eda_only,1606,3839,0.683,1.776,-0.485,1.114
3910,0.75,0.666,0.61,0.723,0.73 0.58 0.59 0.69 0.75,0.75,1.171,0.875,1.463,Baseline/Rest (ref),pooled_stress,external,hr_only,1606,3839,0.672,1.432,-0.221,1.074
5445,0.873,0.784,0.739,0.826,0.68 0.78 0.81 0.81 0.85,1.599,2.581,2.053,3.13,Baseline/Rest (ref),pooled_stress,within_LOSO,hr+eda,1606,3839,0.714,1.297,-0.292,0.862
5445,0.873,0.797,0.755,0.833,0.67 0.76 0.82 0.83 0.91,1.199,2.97,2.464,3.505,Baseline/Rest (ref),pooled_stress,within_LOSO,eda_only,1606,3839,0.683,1.776,-0.485,1.114
3910,0.886,0.847,0.811,0.884,0.82 0.85 0.86 0.88 0.81,0.662,3.546,2.883,4.38,Baseline/Rest (ref),pooled_stress,within_LOSO,hr_only,1606,3839,0.672,1.432,-0.221,1.074
