dataset,model,split,ba,auroc,n_test,n_test_matched,ba_matched,auroc_matched
Stress-Predict,time_only_within,4,0.9345425995175887,0.9752399915820827,526,238,0.8459757340001852,0.8788552375659906
Stress-Predict,std_within,4,0.7372638531397212,0.8010943292376929,526,238,0.6504584606835232,0.7301102158006852
Stress-Predict,std_external,4,0.7094199731274181,0.7885160183251583,526,238,0.7169121052144114,0.7586366583310178
Stress-Predict,std+time_within,4,0.9402327877875447,0.9820957376199958,526,238,0.8488005927572473,0.9131240159303511
Stress-Predict,std+time_external,4,0.6061709808492384,0.6953037734932737,526,238,0.6564786514772623,0.7925349634157636
Stress-Predict,time_only_within,5,0.929479455356067,0.9762019520424148,537,249,0.8335492227979275,0.9040062916358252
Stress-Predict,std_within,5,0.680322930473551,0.8035004217375586,537,249,0.6331883789785344,0.7133604737231681
Stress-Predict,std_external,5,0.6589046873117244,0.7096186287504518,537,249,0.64789970392302,0.7295521835677276
Stress-Predict,std+time_within,5,0.9283422701530305,0.9798620315700687,537,249,0.8398871206513694,0.9117320503330865
Stress-Predict,std+time_external,5,0.5734727075551271,0.6264158332329196,537,249,0.6392949666913397,0.7818282753515915
Stress-Predict,time_only_within,6,0.9032691847956011,0.9665311977049964,544,247,0.794266137756942,0.85250631085467
Stress-Predict,std_within,6,0.6937903418599092,0.8031765479321062,544,247,0.6225658131987017,0.674089433826181
Stress-Predict,std_external,6,0.6651326798948123,0.696718862060722,544,247,0.6250450775333574,0.6609267940858277
Stress-Predict,std+time_within,6,0.9131006454697586,0.9695194836241932,544,247,0.8281644428416877,0.8856833754056977
Stress-Predict,std+time_external,6,0.5303609849390389,0.5722716949557733,544,247,0.5917778579156149,0.6892354850342589
Stress-Predict,time_only_within,7,0.9032061178329085,0.9706674325925393,507,217,0.7950310559006211,0.8802684117125112
Stress-Predict,std_within,7,0.7507001041180483,0.8172369224141025,507,217,0.7511645962732919,0.8164374445430346
Stress-Predict,std_external,7,0.6322837755358489,0.7172476932466879,507,217,0.6809006211180124,0.8044587400177462
Stress-Predict,std+time_within,7,0.912522888019244,0.9747244461996912,507,217,0.8043478260869565,0.8900842945874002
Stress-Predict,std+time_external,7,0.5528937636879331,0.6124474921911465,507,217,0.6494565217391304,0.8732253771073647
Stress-Predict,time_only_within,8,0.9125762648000811,0.9624581539933046,556,251,0.7799966577540107,0.8586647727272727
Stress-Predict,std_within,8,0.7092372795385709,0.7596988536730288,556,251,0.7098512700534759,0.7390541443850268
Stress-Predict,std_external,8,0.6550947060272743,0.6980276219874498,556,251,0.7071356951871658,0.7304478609625668
Stress-Predict,std+time_within,8,0.905873657667058,0.9697839224381548,556,251,0.813711564171123,0.8856951871657754
Stress-Predict,std+time_external,8,0.5758010521281683,0.601901366607249,556,251,0.6902573529411764,0.7999665775401069
Stress-Predict,time_only_within,9,0.9549346399688035,0.9923365151489463,518,234,0.9023668639053255,0.9704142011834319
Stress-Predict,std_within,9,0.7355589088011394,0.8202556755565351,518,234,0.7065088757396449,0.774920345926263
Stress-Predict,std_external,9,0.6573557586341363,0.7080330954036046,518,234,0.6414201183431952,0.7061902594446973
Stress-Predict,std+time_within,9,0.9578932198504604,0.9939641579491701,518,234,0.8899408284023669,0.9758761948111061
Stress-Predict,std+time_external,9,0.5803394313422967,0.6403587596005493,518,234,0.6461538461538462,0.7598543468365954
Stress-Predict,time_only_within,10,0.9316474415853297,0.968944099378882,492,198,0.8317326930772309,0.888155262104842
Stress-Predict,std_within,10,0.7491274770777876,0.8211574484866411,492,198,0.71468587434974,0.7948512738428705
Stress-Predict,std_external,10,0.6362023070097604,0.722764468106083,492,198,0.6174469787915167,0.7013472055488862
Stress-Predict,std+time_within,10,0.9345459923099675,0.9780143941634626,492,198,0.8709483793517407,0.9050286781379218
Stress-Predict,std+time_external,10,0.5527358769594795,0.6221039140293798,492,198,0.6214485794317727,0.7620381485927704
Stress-Predict,time_only_within,11,0.9780856918238994,0.9982400657518582,511,206,0.9617957982068781,0.9943128596279941
Stress-Predict,std_within,11,0.6541595197255574,0.6955224413950829,511,206,0.7167804094741068,0.7315000669075338
Stress-Predict,std_external,11,0.5833601343624928,0.6079098770726129,511,206,0.6799812658905393,0.7597350461661982
Stress-Predict,std+time_within,11,0.982347055460263,0.9976772441395083,511,206,0.9724340960792186,0.9953164726348187
Stress-Predict,std+time_external,11,0.5058515580331618,0.5020547455688965,511,206,0.6635220125786163,0.8272447477585976
Stress-Predict,time_only_within,12,0.927556331478732,0.9768147628448824,534,228,0.8359183272798665,0.8940316089133209
Stress-Predict,std_within,12,0.716784414821583,0.7678049894760888,534,228,0.6453813684107195,0.6982428585452046
Stress-Predict,std_external,12,0.67814779161024,0.7309468256946597,534,228,0.6436634926867576,0.6525964464513596
Stress-Predict,std+time_within,12,0.9387247303757607,0.981889082869683,534,228,0.8635025031903406,0.9214685383331698
Stress-Predict,std+time_external,12,0.5747197702687269,0.6443244301587561,534,228,0.6126435653283597,0.6806714439972513
Stress-Predict,time_only_within,13,0.9310784551858149,0.9760975831916444,542,247,0.856280193236715,0.8913906142167012
Stress-Predict,std_within,13,0.679104930774836,0.7411191401505952,542,247,0.6372498274672187,0.6642512077294687
Stress-Predict,std_external,13,0.6407578333738159,0.6611534491134321,542,247,0.665631469979296,0.7140700483091788
Stress-Predict,std+time_within,13,0.9353443041049307,0.9751943162496963,542,247,0.8456262939958592,0.9051932367149758
Stress-Predict,std+time_external,13,0.5478351955307262,0.5534521496235122,542,247,0.6478174603174602,0.7573326432022085
Stress-Predict,time_only_within,14,0.9571372614850876,0.9931546453285583,494,213,0.8886168179646441,0.9663760152890588
Stress-Predict,std_within,14,0.7046705090183352,0.7657564396694831,494,213,0.6784519827998089,0.7239608217869088
Stress-Predict,std_external,14,0.6487325835151923,0.6995971126405909,494,213,0.6817367415193503,0.743191591017678
Stress-Predict,std+time_within,14,0.9541342584820846,0.9907298602950776,494,213,0.8982322025800287,0.9632107023411371
Stress-Predict,std+time_external,14,0.5549866636823159,0.6078563035084773,494,213,0.6357501194457716,0.8183229813664596
Stress-Predict,time_only_within,15,0.9739880059970014,0.9981592537064801,519,231,0.9299758015728977,0.9935974994958661
Stress-Predict,std_within,15,0.651024487756122,0.6797601199400298,519,231,0.6672716273442226,0.6748336358136721
Stress-Predict,std_external,15,0.5606446776611694,0.5430284857571215,519,231,0.5960375075620085,0.5985581770518249
Stress-Predict,std+time_within,15,0.9725137431284359,0.9948192570381476,519,231,0.9240774349667271,0.9864892115345836
Stress-Predict,std+time_external,15,0.4684407796101949,0.42503748125937024,519,231,0.5942226255293406,0.7058882839282113
Stress-Predict,time_only_within,16,0.9787234042553192,0.9991212290387279,476,199,0.9423076923076923,0.9982339089481947
Stress-Predict,std_within,16,0.6723114777826025,0.7538304075429563,476,199,0.5985740450026165,0.668694400837258
Stress-Predict,std_external,16,0.6575481256332321,0.7114322932820545,476,199,0.6996336996336996,0.7499345892203034
Stress-Predict,std+time_within,16,0.9673614126501664,0.9964642391911172,476,199,0.9162742019884877,0.9952904238618525
Stress-Predict,std+time_external,16,0.5413229121435809,0.6023819862291421,476,199,0.6598639455782314,0.8262689691261119
Stress-Predict,time_only_within,17,0.9363748363748364,0.9769692769692769,536,243,0.8614165890027959,0.8949673811742778
Stress-Predict,std_within,17,0.6964117964117964,0.7550781550781551,536,243,0.6723671947809879,0.6976700838769805
Stress-Predict,std_external,17,0.6987140987140987,0.7367829367829368,536,243,0.6906337371854614,0.7246039142590867
Stress-Predict,std+time_within,17,0.9308231308231308,0.978932778932779,536,243,0.832851817334576,0.906896551724138
Stress-Predict,std+time_external,17,0.6016709016709016,0.6247632247632248,536,243,0.6925442684063374,0.7668219944082014
Stress-Predict,time_only_within,18,0.956349584206183,0.992810893163207,533,234,0.8837347606303896,0.9657052235107543
Stress-Predict,std_within,18,0.6771805370405637,0.7652034533104806,533,234,0.7091882247992863,0.7900683913172761
Stress-Predict,std_external,18,0.6264282993715482,0.6229765758903066,533,234,0.6489741302408564,0.6770740410347903
Stress-Predict,std+time_within,18,0.96760140925538,0.9930648130514823,533,234,0.9128754088611359,0.9650113985528794
Stress-Predict,std+time_external,18,0.5178854821303879,0.5070145369136039,533,234,0.6309842402616711,0.7204876598275349
Stress-Predict,time_only_within,19,0.9721589058938457,0.9979139531097363,480,194,0.949764982373678,0.9974294947121034
Stress-Predict,std_within,19,0.7338000651253663,0.7951196678606316,480,194,0.6827262044653349,0.7749706227967098
