dataset,subject_id,subject_uid,harmonized_label,timestamp_start,temp_available,r1_range,r2_slope,r3_temp,invalid_frac,invalid_frac_eda_rules,raw_eda_range,raw_eda_mean
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,630.0,True,0.0,0.0,0.0,0.0,0.0,0.46633500000000006,0.7082424791666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,660.0,True,0.0,0.0,0.0,0.0,0.0,0.46633500000000006,0.7507638166666666
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,960.0,True,0.0,0.0,0.0,0.0,0.0,0.196044,0.9178917458333333
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,990.0,True,0.0,0.0,0.0,0.0,0.0,0.752141,0.9649327208333333
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1020.0,True,0.0,0.0,0.0,0.0,0.0,0.689356,1.0080175166666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1050.0,True,0.0,0.0,0.0,0.0,0.0,0.4215580000000001,1.0527892625
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1080.0,True,0.0,0.0,0.0,0.0,0.0,0.46394099999999994,1.2012405041666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1110.0,True,0.0,0.0,0.0,0.0,0.0,0.3960299999999999,1.3498337
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1380.0,True,0.0,0.0,0.0,0.0,0.0,0.437133,1.7681455291666666
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,1410.0,True,0.0,0.0,0.0,0.0,0.0,0.427964,1.7660082000000001
Campanella2024,subject_03,Campanella2024:subject_03,Stress,1650.0,True,0.0,0.0,0.0,0.0,0.0,0.24345299999999992,1.6034887583333335
Campanella2024,subject_03,Campanella2024:subject_03,Stress,1680.0,True,0.0,0.0,0.0,0.0,0.0,0.911027,1.7714499041666665
Campanella2024,subject_04,Campanella2024:subject_04,Baseline,15.0,True,0.0,0.0,0.0,0.0,0.0,0.042287000000000005,0.11912826666666666
Campanella2024,subject_04,Campanella2024:subject_04,Baseline,45.0,True,0.0,0.0,0.0,0.0,0.0,0.052538000000000015,0.12968387916666665
Campanella2024,subject_04,Campanella2024:subject_04,Baseline,75.0,True,0.0,0.0,0.0,0.0,0.0,0.023065000000000002,0.14219365
Campanella2024,subject_04,Campanella2024:subject_04,Baseline,105.0,True,0.0,0.0,0.0,0.0,0.0,0.021782999999999997,0.15141442083333334
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,240.0,True,0.0,0.0,0.0,0.0,0.0,0.05894500000000001,0.15980765
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,270.0,True,0.0,0.0,0.0,0.0,0.0,0.069196,0.16564877500000003
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,300.0,True,0.0,0.0,0.0,0.0,0.0,0.038442000000000004,0.17413810416666667
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,330.0,True,0.0,0.0,0.0,0.0,0.0,0.05510100000000001,0.18213620833333335
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,360.0,True,0.0,0.0,0.0,0.0,0.0,0.04485,0.18453350833333335
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,390.0,True,0.0,0.0,0.0,0.0,0.0,0.051255999999999996,0.18751810833333332
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,420.0,True,0.0,0.0,0.0,0.0,0.0,0.089699,0.207289175
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,450.0,True,0.0,0.0,0.0,0.0,0.0,0.09482499999999999,0.2165740416666667
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,480.0,True,0.0,0.0,0.0,0.0,0.0,0.05766399999999999,0.2136214416666667
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,510.0,True,0.0,0.0,0.0,0.0,0.0,0.07816599999999999,0.2276154625
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,540.0,True,0.0,0.0,0.0,0.0,0.0,0.10891999999999999,0.24753604999999998
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,570.0,True,0.0,0.0,0.0,0.0,0.0,0.080729,0.26143401666666666
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,600.0,True,0.0,0.0,0.0,0.0,0.0,0.11660799999999999,0.2887333416666666
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,630.0,True,0.0,0.0,0.0,0.0,0.0,0.11404500000000001,0.3143348208333333
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,660.0,True,0.0,0.0,0.0,0.0,0.0,0.07304100000000002,0.3217829875
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,960.0,True,0.0,0.0,0.0,0.0,0.0,0.07560299999999998,0.3329419125
